Column1;Column2;Column3;Column4;Column5;Column6;Column7
;;"CROSS PROCESS
LOCATION";;PROCESS LOCATION;;
JET;"ROW +
NOZZLE";pixels;mm;pixels;mm;"SIGNAL & BIT SHIFT
ORDER
1 shifted first / 64
shifted last"
J 638;R5,N054;637;26.9663;40;1.6933;DIN10-59
J 639;R2,N054;638;27.0087;10;0.4233;DIN09-04
J 640;R4,N054;639;27.051;30;1.27;DIN09-03
J 641;R6,N054;640;27.0933;50;2.1167;DIN09-02
J 642;R3,N054;641;27.1357;20;0.8467;DIN10-58
J 643;R7,N054;642;27.178;60;2.54;DIN10-60
J 644;R11,N054;643;27.2203;100;4.2333;DIN10-62
J 645;R8,N054;644;27.2627;70;2.9633;DIN09-01
J 646;R10,N054;645;27.305;90;3.81;DIN10-64
J 647;R12,N054;646;27.3473;110;4.6567;DIN10-63
J 648;R9,N054;647;27.3897;80;3.3867;DIN10-61
J 649;R1,N055;648;27.432;0;0;DIN10-45
J 650;R5,N055;649;27.4743;40;1.6933;DIN10-47
J 651;R2,N055;650;27.5167;10;0.4233;DIN10-56
J 652;R4,N055;651;27.559;30;1.27;DIN10-55
J 653;R6,N055;652;27.6013;50;2.1167;DIN10-54
J 654;R3,N055;653;27.6437;20;0.8467;DIN10-46
J 655;R7,N055;654;27.686;60;2.54;DIN10-48
J 656;R11,N055;655;27.7283;100;4.2333;DIN10-50
J 657;R8,N055;656;27.7707;70;2.9633;DIN10-53
J 658;R10,N055;657;27.813;90;3.81;DIN10-52
J 659;R12,N055;658;27.8553;110;4.6567;DIN10-51
J 660;R9,N055;659;27.8977;80;3.3867;DIN10-49
J 661;R1,N056;660;27.94;0;0;DIN10-33
J 662;R5,N056;661;27.9823;40;1.6933;DIN10-35
J 663;R2,N056;662;28.0247;10;0.4233;DIN10-44
J 664;R4,N056;663;28.067;30;1.27;DIN10-43
J 665;R6,N056;664;28.1093;50;2.1167;DIN10-42
J 666;R3,N056;665;28.1517;20;0.8467;DIN10-34
J 667;R7,N056;666;28.194;60;2.54;DIN10-36
J 668;R11,N056;667;28.2363;100;4.2333;DIN10-38
J 669;R8,N056;668;28.2787;70;2.9633;DIN10-41
J 670;R10,N056;669;28.321;90;3.81;DIN10-40
J 671;R12,N056;670;28.3633;110;4.6567;DIN10-39
J 672;R9,N056;671;28.4057;80;3.3867;DIN10-37
J 673;R1,N057;672;28.448;0;0;DIN10-21
J 674;R5,N057;673;28.4903;40;1.6933;DIN10-23
J 675;R2,N057;674;28.5327;10;0.4233;DIN10-32
J 676;R4,N057;675;28.575;30;1.27;DIN10-31
J 677;R6,N057;676;28.6173;50;2.1167;DIN10-30
J 678;R3,N057;677;28.6597;20;0.8467;DIN10-22
J 679;R7,N057;678;28.702;60;2.54;DIN10-24
J 680;R11,N057;679;28.7443;100;4.2333;DIN10-26
J 681;R8,N057;680;28.7867;70;2.9633;DIN10-29
J 682;R10,N057;681;28.829;90;3.81;DIN10-28
J 683;R12,N057;682;28.8713;110;4.6567;DIN10-27
J 684;R9,N057;683;28.9137;80;3.3867;DIN10-25
J 685;R1,N058;684;28.956;0;0;DIN10-09
J 686;R5,N058;685;28.9983;40;1.6933;DIN10-11
J 687;R2,N058;686;29.0407;10;0.4233;DIN10-20
J 688;R4,N058;687;29.083;30;1.27;DIN10-19
J 689;R6,N058;688;29.1253;50;2.1167;DIN10-18
J 690;R3,N058;689;29.1677;20;0.8467;DIN10-10
J 691;R7,N058;690;29.21;60;2.54;DIN10-12
J 692;R11,N058;691;29.2523;100;4.2333;DIN10-14
J 693;R8,N058;692;29.2947;70;2.9633;DIN10-17
J 694;R10,N058;693;29.337;90;3.81;DIN10-16
J 695;R12,N058;694;29.3793;110;4.6567;DIN10-15
J 696;R9,N058;695;29.4217;80;3.3867;DIN10-13
J 697;R1,N059;696;29.464;0;0;DIN11-61
J 698;R5,N059;697;29.5063;40;1.6933;DIN11-63
J 699;R2,N059;698;29.5487;10;0.4233;DIN10-08
J 700;R4,N059;699;29.591;30;1.27;DIN10-07
J 701;R6,N059;700;29.6333;50;2.1167;DIN10-06
J 702;R3,N059;701;29.6757;20;0.8467;DIN11-62
J 703;R7,N059;702;29.718;60;2.54;DIN11-64
J 704;R11,N059;703;29.7603;100;4.2333;DIN10-02
J 705;R8,N059;704;29.8027;70;2.9633;DIN10-05
J 706;R10,N059;705;29.845;90;3.81;DIN10-04
J 707;R12,N059;706;29.8873;110;4.6567;DIN10-03
J 708;R9,N059;707;29.9297;80;3.3867;DIN10-01
J 709;R1,N060;708;29.972;0;0;DIN11-49
J 710;R5,N060;709;30.0143;40;1.6933;DIN11-51
J 711;R2,N060;710;30.0567;10;0.4233;DIN11-60
J 712;R4,N060;711;30.099;30;1.27;DIN11-59
J 713;R6,N060;712;30.1413;50;2.1167;DIN11-58
J 714;R3,N060;713;30.1837;20;0.8467;DIN11-50
J 715;R7,N060;714;30.226;60;2.54;DIN11-52
J 716;R11,N060;715;30.2683;100;4.2333;DIN11-54
J 717;R8,N060;716;30.3107;70;2.9633;DIN11-57
J 718;R10,N060;717;30.353;90;3.81;DIN11-56
J 719;R12,N060;718;30.3953;110;4.6567;DIN11-55
J 720;R9,N060;719;30.4377;80;3.3867;DIN11-53
J 721;R1,N061;720;30.48;0;0;DIN11-37
J 722;R5,N061;721;30.5223;40;1.6933;DIN11-39
J 723;R2,N061;722;30.5647;10;0.4233;DIN11-48
J 724;R4,N061;723;30.607;30;1.27;DIN11-47
J 725;R6,N061;724;30.6493;50;2.1167;DIN11-46
J 726;R3,N061;725;30.6917;20;0.8467;DIN11-38
J 727;R7,N061;726;30.734;60;2.54;DIN11-40
J 728;R11,N061;727;30.7763;100;4.2333;DIN11-42
J 729;R8,N061;728;30.8187;70;2.9633;DIN11-45
J 730;R10,N061;729;30.861;90;3.81;DIN11-44
J 731;R12,N061;730;30.9033;110;4.6567;DIN11-43
